TICKER,SHORT_NAME,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
A UN Equity,AGILENT TECH INC,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AA UN Equity,ALCOA CORP,Materials,Materials,Metals & Mining,Aluminum
AAL UW Equity,AMERICAN AIRLINE,Industrials,Transportation,Airlines,Airlines
AAN UN Equity,AARON'S INC,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
AAOI UQ Equity,APPLIED OPTOELEC,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
AAON UW Equity,AAON INC,Industrials,Capital Goods,Building Products,Building Products
AAP UN Equity,ADVANCE AUTO PAR,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AAPL UW Equity,APPLE INC,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AAT UN Equity,AMERICAN ASSETS,Real Estate,Real Estate,Equity Real Estate Investment,Diversified REITs
AAWW UW Equity,ATLAS AIR WORLDW,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
AAXN UW Equity,AXON ENTERPRISE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ABBV UN Equity,ABBVIE INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABC UN Equity,AMERISOURCEBERGE,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
ABCB UW Equity,AMERIS BANCORP,Financials,Banks,Banks,Regional Banks
ABEO UR Equity,ABEONA THERAPEUT,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABG UN Equity,ASBURY AUTO GRP,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
ABM UN Equity,ABM INDUSTRIES,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ABMD UW Equity,ABIOMED INC,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABT UN Equity,ABBOTT LABS,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABTX UQ Equity,ALLEGIANCE BANCS,Financials,Banks,Banks,Regional Banks
AC UN Equity,ASSOCIATED CAP-A,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
ACA UN Equity,ARCOSA INC,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACAD UW Equity,ACADIA PHARMACEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACBI UW Equity,ATLANTIC CAPITAL,Financials,Banks,Banks,Regional Banks
ACC UN Equity,AMERICAN CAMPUS,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
ACCO UN Equity,ACCO BRANDS CORP,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
ACER UR Equity,ACER THERAPEUTIC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ACGL UW Equity,ARCH CAPITAL GRP,Financials,Insurance,Insurance,Property & Casualty Insurance
ACHC UW Equity,ACADIA HEALTHCAR,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
ACHN UW Equity,ACHILLION PHARMA,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACIA UW Equity,ACACIA COMMUNICA,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ACIW UW Equity,ACI WORLDWIDE IN,Information Technology,Software & Services,Software,Application Software
ACLS UW Equity,AXCELIS TECH INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
ACM UN Equity,AECOM,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACN UN Equity,ACCENTURE PLC-A,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ACNB UR Equity,ACNB CORP,Financials,Banks,Banks,Regional Banks
ACOR UW Equity,ACORDA THERAPEUT,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACRE UN Equity,ARES COMMERCIAL,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
ACRS UW Equity,ACLARIS THERAPEU,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ACRX UQ Equity,ACELRX PHARMA,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ACTG UW Equity,ACACIA RESEARCH,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
ADBE UW Equity,ADOBE INC,Information Technology,Software & Services,Software,Application Software
ADC UN Equity,AGREE REALTY,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs
ADES UQ Equity,ADVANCED EMISSIO,Materials,Materials,Chemicals,Specialty Chemicals
ADI UW Equity,ANALOG DEVICES,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ADM UN Equity,ARCHER-DANIELS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
ADMA UQ Equity,ADMA BIOLOGICS I,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ADMS UQ Equity,ADAMAS PHARMACEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ADNT UN Equity,ADIENT PLC,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
ADP UW Equity,AUTOMATIC DATA,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
ADPT UW Equity,ADAPTIVE BIOTECH,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ADRO UW Equity,ADURO BIOTECH IN,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ADS UN Equity,ALLIANCE DATA,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
ADSK UW Equity,AUTODESK INC,Information Technology,Software & Services,Software,Application Software
ADSW UN Equity,ADVANCED DISPOSA,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ADT UN Equity,ADT INC,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services
ADTN UW Equity,ADTRAN INC,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ADUS UW Equity,ADDUS HOMECARE,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ADVM UQ Equity,ADVERUM BIOTECHN,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AEE UN Equity,AMEREN CORP,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AEGN UW Equity,AEGION CORP,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AEIS UW Equity,ADV ENERGY INDS,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
AEL UN Equity,AMER EQUITY INVT,Financials,Insurance,Insurance,Life & Health Insurance
AEO UN Equity,AMER EAGLE OUTF,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
AEP UN Equity,AMERICAN ELECTRI,Utilities,Utilities,Electric Utilities,Electric Utilities
AERI UQ Equity,AERIE PHARMACEUT,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AES UN Equity,AES CORP,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &
AFG UN Equity,AMER FINL GROUP,Financials,Insurance,Insurance,Multi-line Insurance
AFI UN Equity,ARMSTRONG FL,Industrials,Capital Goods,Building Products,Building Products
AFIN UW Equity,AMERICAN FINANCE,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs
AFL UN Equity,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance
AFMD UQ Equity,AFFIMED NV,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGCO UN Equity,AGCO CORP,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
AGE UA Equity,AGEX THERAPEUTIC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGEN UR Equity,AGENUS INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGIO UW Equity,AGIOS PHARMACEUT,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGLE UQ Equity,AEGLEA BIOTHERAP,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGM UN Equity,FED AGRI MTG-C,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
AGN UN Equity,ALLERGAN PLC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AGNC UW Equity,AGNC INVESTMENT,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
AGO UN Equity,ASSURED GUARANTY,Financials,Insurance,Insurance,Property & Casualty Insurance
AGR UN Equity,AVANGRID INC,Utilities,Utilities,Electric Utilities,Electric Utilities
AGS UN Equity,PLAYAGS INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
AGX UN Equity,ARGAN INC,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AGYS UW Equity,AGILYSYS INC,Information Technology,Software & Services,Software,Application Software
AHH UN Equity,ARMADA HOFFLER P,Real Estate,Real Estate,Equity Real Estate Investment,Diversified REITs
AHT UN Equity,ASHFORD HOSPITAL,Real Estate,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs
AI UN Equity,ARLINGTON ASSE-A,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
AIG UN Equity,AMERICAN INTERNA,Financials,Insurance,Insurance,Multi-line Insurance
AIMC UW Equity,ALTRA INDUSTRIAL,Industrials,Capital Goods,Machinery,Industrial Machinery
AIMT UW Equity,AIMMUNE THERAPEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AIN UN Equity,ALBANY INTL CORP,Industrials,Capital Goods,Machinery,Industrial Machinery
AIR UN Equity,AAR CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AIRG UR Equity,AIRGAIN INC,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
AIT UN Equity,APPLIED INDU TEC,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
AIV UN Equity,APARTMENT INVEST,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
AIZ UN Equity,ASSURANT INC,Financials,Insurance,Insurance,Multi-line Insurance
AJG UN Equity,ARTHUR J GALLAGH,Financials,Insurance,Insurance,Insurance Brokers
AJRD UN Equity,AEROJET ROCKETDY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AJX UN Equity,GREAT AJAX CORP,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
AKAM UW Equity,AKAMAI TECHNOLOG,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
AKBA UQ Equity,AKEBIA THERAPEUT,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AKCA UW Equity,AKCEA THERAPEUTI,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AKR UN Equity,ACADIA REALTY,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs
AKRO UW Equity,AKERO THERAPEUTI,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AKRX UW Equity,AKORN INC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AKS UN Equity,AK STEEL HLDG,Materials,Materials,Metals & Mining,Steel
AKTS UR Equity,AKOUSTIS TECHNOL,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
AL UN Equity,AIR LEASE C,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
ALB UN Equity,ALBEMARLE CORP,Materials,Materials,Chemicals,Specialty Chemicals
ALBO UR Equity,ALBIREO PHARMA I,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALCO UW Equity,ALICO INC,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
ALDX UR Equity,ALDEYRA THERAPEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALE UN Equity,ALLETE INC,Utilities,Utilities,Electric Utilities,Electric Utilities
ALEC UW Equity,ALECTOR INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALEX UN Equity,ALEXANDER & BALD,Real Estate,Real Estate,Equity Real Estate Investment,Diversified REITs
ALG UN Equity,ALAMO GROUP,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALGN UW Equity,ALIGN TECHNOLOGY,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ALGT UW Equity,ALLEGIANT TRAVEL,Industrials,Transportation,Airlines,Airlines
ALK UN Equity,ALASKA AIR GROUP,Industrials,Transportation,Airlines,Airlines
ALKS UW Equity,ALKERMES PLC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALL UN Equity,ALLSTATE CORP,Financials,Insurance,Insurance,Property & Casualty Insurance
ALLE UN Equity,ALLEGION PLC,Industrials,Capital Goods,Building Products,Building Products
ALLK UW Equity,ALLAKOS INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALLO UW Equity,ALLOGENE THERAPE,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALLY UN Equity,ALLY FINANCIAL I,Financials,Diversified Financials,Consumer Finance,Consumer Finance
ALNY UW Equity,ALNYLAM PHARMACE,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALOT UQ Equity,ASTRONOVA INC,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
ALRM UW Equity,ALARM.COM HOLDIN,Information Technology,Software & Services,Software,Application Software
ALRS UR Equity,ALERUS FINANCIAL,Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Se
ALSN UN Equity,ALLISON TRANSMIS,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALTM UQ Equity,ALTUS MIDSTREA-A,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
ALTR UW Equity,ALTAIR ENGINEE-A,Information Technology,Software & Services,Software,Application Software
ALX UN Equity,ALEXANDER'S INC,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs
ALXN UW Equity,ALEXION PHARM,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AM UN Equity,ANTERO MIDSTREAM,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
AMAG UW Equity,AMAG PHARMACEUTI,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMAL UQ Equity,AMALGAMATED BK-A,Financials,Banks,Banks,Regional Banks
AMAT UW Equity,APPLIED MATERIAL,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
AMBA UW Equity,AMBARELLA INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AMBC UW Equity,AMBAC FINANCIAL,Financials,Insurance,Insurance,Property & Casualty Insurance
AMC UN Equity,AMC ENTERTAINMEN,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
AMCX UW Equity,AMC NETWORKS-A,Communication Services,Media & Entertainment,Media,Broadcasting
AMD UW Equity,ADV MICRO DEVICE,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AME UN Equity,AMETEK INC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMED UW Equity,AMEDISYS INC,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMEH UR Equity,APOLLO MEDICAL H,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMG UN Equity,AFFIL MANAGERS,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
AMGN UW Equity,AMGEN INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMH UN Equity,AMERICAN HOMES-A,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
AMK UN Equity,ASSETMARK FINANC,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
AMKR UW Equity,AMKOR TECH INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
AMN UN Equity,AMN HEALTHCARE,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMNB UW Equity,AMER NATL BNKSHS,Financials,Banks,Banks,Regional Banks
AMOT UQ Equity,ALLIED MOTION TE,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMP UN Equity,AMERIPRISE FINAN,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
AMPH UW Equity,AMPHASTAR PHARMA,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMPY UN Equity,AMPLIFY ENERGY C,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
AMRC UN Equity,AMERESCO INC-A,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AMRS UW Equity,AMYRIS INC,Materials,Materials,Chemicals,Specialty Chemicals
AMRX UN Equity,AMNEAL PHARMACEU,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMSC UW Equity,AMER SUPERCONDTR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMSF UW Equity,AMERISAFE INC,Financials,Insurance,Insurance,Property & Casualty Insurance
AMSWA UW Equity,AMER SOFTWARE-A,Information Technology,Software & Services,Software,Application Software
AMT UN Equity,AMERICAN TOWER C,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs
AMTB UW Equity,AMERANT BANCORP,Financials,Banks,Banks,Regional Banks
AMTD UW Equity,TD AMERITRADE HO,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
AMWD UW Equity,AMER WOODMARK CO,Industrials,Capital Goods,Building Products,Building Products
AMZN UW Equity,AMAZON.COM INC,Consumer Discretionary,Retailing,Internet & Direct Marketing Re,Internet & Direct Marketing Re
AN UN Equity,AUTONATION INC,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
ANAB UW Equity,ANAPTYSBIO INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANAT UW Equity,AMER NATL INSUR,Financials,Insurance,Insurance,Multi-line Insurance
ANDE UW Equity,ANDERSONS INC,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
ANET UN Equity,ARISTA NETWORKS,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ANF UN Equity,ABERCROMBIE & FI,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
ANGO UW Equity,ANGIODYNAMICS IN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ANH UN Equity,ANWORTH MORTGAGE,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
ANIK UW Equity,ANIKA THERAPEUTI,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANIP UQ Equity,ANI PHARMACEUTIC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ANSS UW Equity,ANSYS INC,Information Technology,Software & Services,Software,Application Software
ANTM UN Equity,ANTHEM INC,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
AOBC UW Equity,AMERICAN OUTDOOR,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
AON UN Equity,AON PLC,Financials,Insurance,Insurance,Insurance Brokers
AOS UN Equity,SMITH (A.O.)CORP,Industrials,Capital Goods,Building Products,Building Products
AOSL UW Equity,ALPHA & OMEGA SE,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
APA UN Equity,APACHE CORP,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
APAM UN Equity,ARTISAN PARTNE-A,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
APD UN Equity,AIR PRODS & CHEM,Materials,Materials,Chemicals,Industrial Gases
APEI UW Equity,AMERICAN PUBLIC,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
APH UN Equity,AMPHENOL CORP-A,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
APLE UN Equity,APPLE HOSPITALIT,Real Estate,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs
APLS UW Equity,APELLIS PHARMACE,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
APLT UQ Equity,APPLIED THERAPEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
APOG UW Equity,APOGEE ENTERPR,Industrials,Capital Goods,Building Products,Building Products
APPF UQ Equity,APPFOLIO INC - A,Information Technology,Software & Services,Software,Application Software
APPN UQ Equity,APPIAN CORP,Information Technology,Software & Services,Software,Systems Software
APPS UR Equity,DIGITAL TURBINE,Information Technology,Software & Services,Software,Application Software
APRE UW Equity,APREA THERAPEUTI,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
APTS UN Equity,PREFERRED APAR-A,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
APTV UN Equity,APTIV PLC,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
APY UN Equity,APERGY CORP,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
APYX UW Equity,APYX MEDICAL COR,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AQUA UN Equity,EVOQUA WATER TEC,Industrials,Capital Goods,Machinery,Industrial Machinery
AR UN Equity,ANTERO RESOURCES,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
ARA UN Equity,AMERICAN RENAL A,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ARAY UW Equity,ACCURAY INC,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ARCB UW Equity,ARCBEST CORP,Industrials,Transportation,Road & Rail,Trucking
ARCH UN Equity,ARCH COAL INC-A,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
ARD UN Equity,ARDAGH GROUP SA,Materials,Materials,Containers & Packaging,Metal & Glass Containers
ARDX UQ Equity,ARDELYX INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARE UN Equity,ALEXANDRIA REAL,Real Estate,Real Estate,Equity Real Estate Investment,Office REITs
ARES UN Equity,ARES MANAGEM- A,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
ARGO UN Equity,ARGO GROUP INTER,Financials,Insurance,Insurance,Property & Casualty Insurance
ARI UN Equity,APOLLO COMMERCIA,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
ARL UN Equity,AMER REALTY INV,Real Estate,Real Estate,Real Estate Management & Devel,Real Estate Operating Companie
ARLO UN Equity,ARLO TECHNOLOGIE,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
ARMK UN Equity,ARAMARK,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
ARNA UW Equity,ARENA PHARMACEUT,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARNC UN Equity,ARCONIC INC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AROC UN Equity,ARCHROCK INC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
