TICKER,SHORT_NAME,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
A UN Equity,AGILENT TECH INC,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AAL UW Equity,AMERICAN AIRLINE,Industrials,Transportation,Airlines,Airlines
AAP UN Equity,ADVANCE AUTO PAR,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AAPL UW Equity,APPLE INC,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
ABBV UN Equity,ABBVIE INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABC UN Equity,AMERISOURCEBERGE,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
ABMD UW Equity,ABIOMED INC,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABT UN Equity,ABBOTT LABS,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ACN UN Equity,ACCENTURE PLC-A,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ADBE UW Equity,ADOBE INC,Information Technology,Software & Services,Software,Application Software
ADI UW Equity,ANALOG DEVICES,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ADM UN Equity,ARCHER-DANIELS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products
ADP UW Equity,AUTOMATIC DATA,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
ADS UN Equity,ALLIANCE DATA,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
ADSK UW Equity,AUTODESK INC,Information Technology,Software & Services,Software,Application Software
AEE UN Equity,AMEREN CORP,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AEP UN Equity,AMERICAN ELECTRI,Utilities,Utilities,Electric Utilities,Electric Utilities
AES UN Equity,AES CORP,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &
AFL UN Equity,AFLAC INC,Financials,Insurance,Insurance,Life & Health Insurance
AGN UN Equity,ALLERGAN PLC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AIG UN Equity,AMERICAN INTERNA,Financials,Insurance,Insurance,Multi-line Insurance
AIV UN Equity,APARTMENT INVEST,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
AIZ UN Equity,ASSURANT INC,Financials,Insurance,Insurance,Multi-line Insurance
AJG UN Equity,ARTHUR J GALLAGH,Financials,Insurance,Insurance,Insurance Brokers
AKAM UW Equity,AKAMAI TECHNOLOG,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
ALB UN Equity,ALBEMARLE CORP,Materials,Materials,Chemicals,Specialty Chemicals
ALGN UW Equity,ALIGN TECHNOLOGY,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ALK UN Equity,ALASKA AIR GROUP,Industrials,Transportation,Airlines,Airlines
ALL UN Equity,ALLSTATE CORP,Financials,Insurance,Insurance,Property & Casualty Insurance
ALLE UN Equity,ALLEGION PLC,Industrials,Capital Goods,Building Products,Building Products
ALXN UW Equity,ALEXION PHARM,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMAT UW Equity,APPLIED MATERIAL,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
AMCR UN Equity,AMCOR PLC,Materials,Materials,Containers & Packaging,Paper Packaging
AMD UW Equity,ADV MICRO DEVICE,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AME UN Equity,AMETEK INC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMGN UW Equity,AMGEN INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMP UN Equity,AMERIPRISE FINAN,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
AMT UN Equity,AMERICAN TOWER C,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs
AMZN UW Equity,AMAZON.COM INC,Consumer Discretionary,Retailing,Internet & Direct Marketing Re,Internet & Direct Marketing Re
